rank,source_front,front,paper_pos,camel_pos,camel_roots,camel_glosses,repair_method,confidence,note
824,كبرى,كبرى,ADJ,noun,ك ب ر,the+bridge;overpass,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
825,حملة,حملة,N\CN,noun,ح م ل,campaign;expedition;attack+[fem.sg.],exact,high,
826,اقتصاد,اقتصاد,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
827,لغة,لغة,N\CN,noun,,the+language+[fem.sg.],exact,high,
828,عنوان,عنوان,N\CN,noun,ع ن ن,headline+[def.gen.],exact,high,
829,كلية,كلية,N\CN,noun,ك ل ل,entirety+[fem.sg.],exact,high,
830,عم,عم,N\CN | V\VP,noun | verb,ع م م,paternal uncle+[def.gen.] | it;they;she+be universal;be prevalent,exact,high,
831,قمة,قمة,N\CN,noun,ق م م,summit+[fem.sg.],exact,high,
832,تابع,تابع,N\CN | V\VP,verb,ت ب ع,and+continue;follow+he;it <verb>,exact,high,
833,دائرة,دائرة,N\CN,noun,,office;bureau;district+[fem.sg.],exact,high,
834,أحداث,أحداث,N\CN,noun,ح د ث,the+events+[def.gen.],exact,high,
835,بحر,بحر,N\CN,noun,ب ح ر,the+sea+[def.gen.],exact,high,
836,مناسب,مناسب,ADJ,adj,ن س ب,the+suitable;appropriate+[def.gen.],exact,high,
837,قرية,قرية,N\CN,noun,,village+[fem.sg.],exact,high,
838,يبلغ,يبلغ,V\VI,verb,ب ل غ,reach;attain+he;it <verb>,exact,high,
839,انتهاء,انهاء,N\CN,noun,,termination;completion+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
840,معنى,معنى,N\CN,noun,,meaning;sense,exact,high,
841,يعاني,يعاني,V\VI,verb,,he;it+suffer,exact,high,
842,جاري,جاري,ADJ,adj,,the+current;present;proceeding;taking place,exact,high,
843,مواد,مواد,N\CN,noun,م د د,substance;material+[fem.sg.],exact,high,
844,مسألة,مسألة,N\CN,noun,,issue;affair;matter;question+[fem.sg.],exact,high,
845,قلق,قلق,N\CN | V\VP,noun | verb,ق ل ق,the+unrest;concern;apprehension+[def.acc.] | it;they;she+be worried;be agitated,exact,high,
846,دعوة,دعوة,N\CN,noun,,(Islamic) missionary work;Da'wah;propaganda+[fem.sg.],exact,high,
847,سكان,سكان,N\CN,noun,س ك ن,residents;inhabitants+[def.gen.],exact,high,
848,أسباب,أسباب,N\CN,noun,س ب ب,by;with+reason;cause+[def.gen.],exact,high,
849,يتوقف,يتوقف,V\VI,verb,,he;it+stop;halt;depend on,exact,high,
850,وصف,وصف,N\CN | V\VP,verb | noun,,describe;characterize+he;it <verb> | because;as+its;his,exact,high,
851,بلدة,بلدة,N\CN,noun,ب ل د,township+[fem.sg.],exact,high,
852,عالج,عالج,N\CN,verb,ع ل ج,it;they;she+treat;deal with;process,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
853,أوراق,أوراق,N\CN,noun,,leaves+[def.gen.],exact,high,
854,رب,رب,N\CN | P\PRE,noun,ر ب ب,owner;proprietor+[def.gen.],exact,high,
855,وسائل,وسائل,N\CN,noun,,means;devices;instruments+[def.gen.],exact,high,
856,مهرجا / ن,مهرجان,N\CN,noun,,festival+[def.gen.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
857,تجارة,تجارة,N\CN,noun,ت ج ر,the+commerce;business+[fem.sg.],exact,high,
858,ضرب,ضرب,N\CN | V\VP,noun | verb,ض ر ب,strike;attack;bombardment+[def.gen.] | he;it+be struck;be hit,exact,high,
859,مقاومة,مقاومة,N\CN,noun,,the+resistance;opposition;struggle+[fem.sg.],exact,high,
860,يستخدم,يستخدم,V\VI,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
861,مصلحة,مصلحة,N\CN,noun,ص ل ح,interest;advantage;agency+[fem.sg.],exact,high,
862,أسواق,أسواق,N\CN,noun,,market+[def.gen.],exact,high,
863,يدعو,يدعو,V\VI,verb,,we+call;invite+you,exact,high,
864,سيطرة,سيطرة,N\CN,noun,س ط ر,the+control;dominion+[fem.sg.],exact,high,
865,مؤخار,مؤخار,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
866,أساس,أساس,N\CN,noun,,foundation;basis+[def.gen.],exact,high,
867,ظرة,ظرة,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
868,مجددا,مجددا,N\CN,noun,ج د د,renovator;reformer+[acc.indef.],exact,high,
869,مادة,مادة,N\CN,noun,م د د,substance;material+[fem.sg.],exact,high,
870,جنس,جنس,N\CN,noun,ج ن س,the+type;kind+[def.gen.],exact,high,
871,أنفس,نفس,N\CN,noun,ن ف س,soul+its;his,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
872,تسجيل,تسجيل,N\CN,noun,س ج ل,the+registration;recording;documentation+[def.acc.],exact,high,
873,أوطس,أوس,N\CN,noun,,for;to+lynx+my,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
874,حقق,حقق,V\VP,verb,ح ق ق,achieve;realize;reach+he;it <verb>,exact,high,
875,خطاب,خطاب,N\CN,noun,خ ط ب,the+speech+[def.gen.],exact,high,
876,جح,جح,V\VP,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
877,تشكيل,تشكيل,N\CN,noun,ش ك ل,formation;composition;constitution+[def.gen.],exact,high,
878,سيئة,سيئة,ADJ,noun,,bad+[fem.sg.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
879,بطل,بطل,N\CN,noun,ب ط ل,heroes;champions;stars,exact,high,
880,يقف,يقف,V\VI,verb,,he;it+stop;cease;stand,exact,high,
881,يواجه,يواجه,V\VI,verb,,it;they;she+face;be faced with;confront,exact,high,
882,قرب,قرب,V\VP,verb,ق ر ب,he;it+approach;draw near,exact,high,
883,حاكم,حاكم,N\CN | V\VP,noun | verb,ح ك م,ruler;governor+[def.gen.] | he;it+prosecute;arraign,exact,high,
884,عقب,عقب,ADV | V\VP,verb,ع ق ب,it;they;she+follow;come after,exact,high,
885,ظن,ظن,N\CN | V\VP,verb | noun,ظ ن ن,he;it+think;believe;presume | the+opinion;assumption+[def.gen.],exact,high,
886,مر,مر,N\CN | V\VP,verb | noun,م ر ر,it;they;she+pass;go through | passing+[def.gen.],exact,high,
887,عشاء,عشاء,N\CN | ADV,noun,,the+dinner;supper+[def.gen.],exact,high,
888,إعداد,إعداد,N\CN,noun,ع د د,preparation+[def.gen.],exact,high,
889,فندق,فندق,N\CN,noun,ف ن د ق,hotel+[def.gen.],exact,high,
890,يؤدي,يؤدي,V\VI,verb,,he;it+direct;guide;lead,exact,high,
891,يحضر,يحضر,V\VI,verb,ح ض ر,attend;appear+he;it <verb>,exact,high,
892,تحول,تحول,N\CN | V\VP,verb | noun,,be changed;be transformed+he;it <verb> | the+change;transformation+[def.nom.],exact,high,
893,سريع,سريع,ADJ,adj,س ر ع,the+quick;prompt+[def.gen.],exact,high,
894,يشهد,يشهد,V\VI,verb,ش ه د,witness;observe+it;they;she <verb>,exact,high,
895,سر,سر,N\CN,noun,س ر ر,secret+[def.gen.],exact,high,
896,ظروف,ظروف,N\CN,noun,ظ ر ف,the+circumstances;condition;situation+[def.gen.],exact,high,
897,فاز,فاز,V\VP,verb,,win;be victorious+he;it <verb>,exact,high,
898,ميت,مميت,ADJ,adj,,the+fatal;lethal;mortal+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
899,أثر,أثر,N\CN | V\VP,noun | verb,,effects;traces+[def.gen.] | affect;influence+he;it <verb>,exact,high,
900,ضوء,ضوء,N\CN,noun,,the+light,exact,high,
901,عمال,عمال,N\CN,noun,ع م ل,the+workers+[def.gen.],exact,high,
902,قدرة,قدرة,N\CN,noun,ق د ر,the+capacity;ability;potential;power+[fem.sg.],exact,high,
903,يدري,يدري,V\VI,verb,,I+know;be aware of;notice,exact,high,
904,منع,منع,N\CN | V\VP,noun | verb,م ن ع,prevention;interdiction+[def.gen.] | he;it+prevent;forbid,exact,high,
905,رئيسي,رئيسي,ADJ,adj,,the+main;principal+[fem.sg.],exact,high,
906,ميالد,ميلاد,N\CN,noun,,the+birthday;birth+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
907,إنما,إما,P\PO,conj,,either,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
908,مسابقة,مسابقة,N\CN,noun,س ب ق,the+race;competition+[fem.pl.],exact,high,
909,دليل,دليل,N\CN,noun,د ل ل,directory;manual;guide-book+[indef.nom.],exact,high,
910,سفر,سفر,N\CN,noun,س ف ر,the+travel;trip+[def.gen.],exact,high,
911,حمل,حمل,N\CN,noun,ح م ل,the+urging;compelling;forcing,exact,high,
912,تصوير,تصوير,N\CN,noun,,the+depiction;characterization+[def.gen.],exact,high,
913,طيران,طيران,N\CN,noun,,the+flying+[def.gen.],exact,high,
914,محطة,محطة,N\CN,noun,ح ط ط,station+[fem.sg.],exact,high,
915,أفراد,أفراد,N\CN,noun,ف ر د,individuals+[def.gen.],exact,high,
916,سوء,سوء,N\CN,noun,,offense;bad;ill,exact,high,
917,احترام,احترام,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
918,حساب,حساب,N\CN,noun,ح س ب,invoice;expense;account+[def.gen.],exact,high,
919,تطبيق,تطبيق,N\CN,noun,ط ب ق,application+[def.gen.],exact,high,
920,يستحق,يستحق,V\VI,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
921,بيئة,بيئة,N\CN,noun,,the+environment;milieu+[fem.sg.],exact,high,
922,مقر,مقر,N\CN,noun,ق ر ر,center;headquarters;residence+[def.gen.],exact,high,
923,فشل,فشل,N\CN | V\VP,noun | verb,ف ش ل,failure+[def.gen.] | fail;be unsuccessful+it;they;she <verb>,exact,high,
924,افعل,فعل,V\VR,verb,ف ع ل,he;it+do;act,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
925,كبار,كبار,N\CN,noun,ك ب ر,senior;adults+[def.gen.],exact,high,
926,يتعرف,يتعرف,V\VI,verb,ع ر ف,you [masc.sg.]+identify,exact,high,
927,وفقا / ل,وفقا/ل,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs. Final front is not a single Arabic-script word.
928,منافسة,منافسة,N\CN,noun,ن ف س,the+competition;rivalry+[fem.sg.],exact,high,
929,يسعى,يسعى,V\VI,verb,,it;they;she+strive;pursue,exact,high,
930,يكره,يكره,V\VI,verb,ك ر ه,he;it+hate;loathe;dislike,exact,high,
931,مواطن,مواطن,N\CN,noun,,the+citizen+[masc.pl.],exact,high,
932,أوالد,والد,N\CN,noun,,father+its;his,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
933,طبيعي,طبيعي,ADJ,adj,ط ب ع,the+natural;normal+[fem.sg.],exact,high,
934,خطوة,خطوة,N\CN,noun,,step;stride+[fem.sg.],exact,high,
935,مشاريع,مشاريع,N\CN,noun,ش ر ع,project;enterprise+[def.gen.],exact,high,
936,شاهد,شاهد,V\VP,verb,ش ه د,watch;observe;witness+he;it <verb>,exact,high,
937,أصل,أصل,N\CN,noun,,origin;root+[def.gen.],exact,high,
938,مدارس,مدارس,N\CN,noun,د ر س,school+[fem.sg.],exact,high,
939,ثمن,ثمن,N\CN,noun,ث م ن,value;price+[def.acc.],exact,high,
940,إيجاد,إيجاد,N\CN,noun,,discovery;finding+[def.gen.],exact,high,
941,صفقة,صفقة,N\CN,noun,ص ف ق,deal;transaction+[fem.sg.],exact,high,
942,يطلق,يطلق,V\VI,verb,ط ل ق,he;it+be released;be fired,exact,high,
943,يقبل,يقبل,V\VI,verb,ق ب ل,it;they;she+accept;receive;approve,exact,high,
944,يجمع,يجمع,V\VI,verb,ج م ع,it;they;she+gather;assemble,exact,high,
945,شديد,شديد,ADJ,adj,ش د د,the+intense;strong;severe+[def.gen.],exact,high,
946,أسئلة,أسئلة,N\CN,noun,,question;inquiry+[indef.gen.],exact,high,
947,سن,سن,N\CN,noun,س ن ن,enactment;prescription,exact,high,
948,تفكير,تفكير,N\CN,noun,ف ك ر,the+thinking;meditation;reflection+[def.gen.],exact,high,
949,أسماء,سماء,N\CN,noun,,the+sky;heaven+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
950,مستشار,مستشار,N\CN,noun,,the+counselor;adviser+[def.nom.],exact,high,
951,يقود,يقود,V\VI,verb,,he;it+drive;pilot,exact,high,
952,يتمكن,يتمكن,V\VI,verb,م ك ن,be capable of;be able to+he;it <verb>,exact,high,
953,جهود,جهود,N\CN,noun,ج ه د,the+efforts+[def.gen.],exact,high,
954,سبق,سبق,N\CN | V\VP,verb | noun,س ب ق,precede;antecede;anticipate+he;it <verb> | the+precedence;antecedence+[def.gen.],exact,high,
955,ضغط,ضغط,N\CN | V\VP,noun | verb,ض غ ط,the+pressure;stress;voltage+[def.gen.] | I+press;push;pressurize;compress,exact,high,
956,إشارة,إشارة,N\CN,noun,,the+indication;mention;sign+[fem.sg.],exact,high,
957,متابعة,متابعة,N\CN,noun,ت ب ع,pursuit;continuation+[fem.sg.],exact,high,
958,أصاب,أصاب,V\VP,verb,,I+strike;afflict,exact,high,
959,أخت,أخت,N\CN,noun,,sister;counterpart+my two,exact,high,
960,حذر,حذر,N\CN | ADJ,noun,ح ذ ر,the+caution+[def.gen.],exact,high,
961,خليج,خليج,N\CN,noun,خ ل ج,the+gulf+[def.gen.],exact,high,
962,أسرة,أسرة,N\CN,noun,,the+family;community+[fem.sg.],exact,high,
963,إصالح,إصالح,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
964,حارس,حارس,N\CN,noun,ح ر س,vigilant;sentry;guard;keeper;goal-keeper+[def.nom.],exact,high,
965,ناحية,ناحية,ADV,noun,,side;perspective+[fem.sg.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
966,مرض,مرض,N\CN | V\VP,noun,م ر ض,diseases;illnesses+[def.gen.],exact,high,
967,فصل,فصل,V\VP,verb,ف ص ل,he;it+separate;detach;set apart,exact,high,
968,تغير,تغير,N\CN | V\VP,verb | noun,,it;they;she+change;modify | the+transformation;change;variation+[fem.pl.] | he;it+be changed;be modified,exact,high,
969,مجنون,مجنون,ADV,noun,ج ن ن,insane;crazy;madman,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
970,نصر,نصر,N\CN | V\VP,noun,ن ص ر,and + the+victory;assistance+[def.nom.],exact,high,
971,موجود,موجود,ADV,noun,,the+present;existing;found+[fem.sg.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
972,أسوأ,أسوأ,N\CN,noun,,worse;worst,exact,high,
973,حلم,حلم,N\CN | V\VP,noun | verb,ح ل م,dream+[def.acc.] | he;it+dream,exact,high,
974,أندية,أندية,N\CN,noun,,club;association,exact,high,
975,جمهور,جمهور,N\CN,noun,ج م ه ر,the+multitude;public+[def.gen.],exact,high,
976,صيد,صيد,N\CN,noun,,the+hunting;fishing;trapping+[def.gen.],exact,high,
977,عادة,عادة,N\CN,noun,,habit;custom;practice+[fem.sg.],exact,high,
978,مخدرا / ت,مخدرات,N\CN,noun,خ د ر,the+narcotics;drugs+[fem.pl.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
979,اتفق,اتفق,V\VP,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
980,مسرح,مسرح,N\CN,noun,س ر ح,the+theater;stage+[def.gen.],exact,high,
981,تمكن,تمكن,N\CN | V\VP,verb | noun,م ك ن,be capable of;be able to+he;it <verb> | the+capability;control+[def.gen.],exact,high,
982,ينبغي,ينبغي,V\VI,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
983,ألعاب,ألعاب,N\CN,noun,ل ع ب,games;sports+[def.gen.],exact,high,
984,قوانين,قوانين,N\CN,noun,ق ن ن,law;statutes;regulations+[def.gen.],exact,high,
985,يزيد,يزيد,V\VI,verb,,he;it+increase;exceed;add,exact,high,
986,رياضة,رياضة,N\CN,noun,,the+mathematics+[fem.sg.],exact,high,
987,مبلغ,مبلغ,N\CN,noun,ب ل غ,the+amount;sum+[def.gen.],exact,high,
988,كتابة,كتابة,N\CN,noun,ك ت ب,writing+[fem.sg.],exact,high,
989,خوف,خوف,N\CN,noun,,the+fear+[def.gen.],exact,high,
990,شمس,شمس,N\CN,noun,ش م س,the+sun+[def.gen.],exact,high,
991,ساعد,ساعد,V\VP,verb,س ع د,he;it+help;assist;support;contribute,exact,high,
992,يقل,يقل,V\VI,verb,ق ل ل,he;it+be less;decrease;diminish,exact,high,
993,اتخاذ,اتخاذ,N\CN,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
994,حفلة,حفلة,N\CN,noun,ح ف ل,celebrations;parties;ceremonies+[fem.pl.],exact,high,
995,شعور,شعور,N\CN,noun,ش ع ر,the+feeling;sentiment;awareness+[def.gen.],exact,high,
996,يفضل,يفضل,V\VI,verb,ف ض ل,he;it+prefer,exact,high,
997,استطاع,استطاع,V\VP,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
998,طبيعة,طبيعة,N\CN,noun,ط ب ع,the+nature;natural+[fem.sg.],exact,high,
999,مقابلة,مقابلة,N\CN,noun,ق ب ل,encounter;meeting;interview+[fem.sg.],exact,high,
1000,ابتعد,ابتعد,V\VP | V\VR,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
