rank,level,target,english,attribution
546,B,Nous voulons t'aider.,We want to help you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2011524 (CK) & #8666756 (Micsmithel)
547,B,Nous voulons savoir pourquoi.,We want to know why.,CC-BY 2.0 (France) Attribution: tatoeba.org #2011526 (CK) & #9557010 (Micsmithel)
548,B,Ce que je dis est vrai.,What I say is true.,CC-BY 2.0 (France) Attribution: tatoeba.org #1823690 (Amastan) & #5931281 (Aiji)
549,B,C'est l'aide dont nous avons besoin.,What we need is help.,CC-BY 2.0 (France) Attribution: tatoeba.org #1159840 (tinytina) & #333444 (TRANG)
550,B,"Ce dont nous avons besoin, c'est d'un effet de levier.",What we need is leverage.,CC-BY 2.0 (France) Attribution: tatoeba.org #3823056 (CK) & #8644366 (lbdx)
551,B,"Ce que nous voulons, c'est la liberté.",What we want is freedom.,CC-BY 2.0 (France) Attribution: tatoeba.org #2011977 (CK) & #5359095 (Aiji)
552,B,Ce que tu dis est vrai.,What you say is true.,CC-BY 2.0 (France) Attribution: tatoeba.org #409224 (Lachy) & #409228 (qdii)
553,B,Toi seul peux m'aider.,You alone can help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2450063 (sharptoothed) & #3220611 (Dreamk33) Editorially corrected after complete row-by-row linguistic audit.
554,B,On est ce qu'on mange.,You are what you eat.,CC-BY 2.0 (France) Attribution: tatoeba.org #674886 (darinmex) & #1389700 (Aiji)
555,B,Tu peux toujours venir ici.,You can always come here.,CC-BY 2.0 (France) Attribution: tatoeba.org #1895815 (CK) & #3083602 (nimfeo)
556,B,Tu peux faire ça demain.,You can do that tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #4890061 (CK) & #7811587 (Aiji)
557,B,Tu peux prendre ton temps.,You can take your time.,CC-BY 2.0 (France) Attribution: tatoeba.org #19693 (CK) & #334368 (TRANG)
558,B,Tu peux me rendre visite demain.,You can visit me tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #323128 (CK) & #7802564 (Aiji)
559,B,Tu aurais pu me le dire.,You could have told me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2906559 (CK) & #1184690 (rene1596)
560,B,Tu iras là-bas sans moi.,You will go there without me.,CC-BY 2.0 (France) Attribution: tatoeba.org #1142898 (CM) & #1144803 (Wittydev) Editorially corrected after complete row-by-row linguistic audit.
561,B,Vous devez rentrer chez vous.,You have to go home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1895736 (CK) & #7699280 (Maxence)
562,B,Vous devez m'aider.,You have to help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #1895735 (CK) & #9077732 (Aiji)
563,B,Vous avez du travail à faire.,You have work to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #3331091 (CK) & #7992530 (Aiji)
564,B,Tu sais ce que j'ai trouvé.,You know what I found.,CC-BY 2.0 (France) Attribution: tatoeba.org #10778684 (CK) & #10778751 (Rovo)
565,B,Tu sais ce que je pense.,You know what I think.,CC-BY 2.0 (France) Attribution: tatoeba.org #3347153 (CK) & #10549633 (Micsmithel)
566,B,Vous savez ce que je veux.,You know what I want.,CC-BY 2.0 (France) Attribution: tatoeba.org #1895725 (CK) & #8168800 (Aiji)
567,B,Vous savez ce qu'il faut faire.,You know what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #2547996 (CK) & #11571765 (Aiji)
568,B,Tu sais où je suis.,You know where I am.,CC-BY 2.0 (France) Attribution: tatoeba.org #9159731 (CK) & #9159741 (Julien_PDC)
569,B,Tu sais où je travaille.,You know where I work.,CC-BY 2.0 (France) Attribution: tatoeba.org #3347161 (CK) & #9833987 (Micsmithel)
570,B,Vous savez de qui je veux parler.,You know who I want to talk about.,CC-BY 2.0 (France) Attribution: tatoeba.org #3331008 (CK) & #3470460 (Lulantis) Editorially corrected after complete row-by-row linguistic audit.
571,B,Vous savez qui c'est.,You know who it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #10038970 (ddnktr) & #4450861 (franlexcois)
572,B,Vous savez pourquoi je suis partie.,You know why I left.,CC-BY 2.0 (France) Attribution: tatoeba.org #3331028 (CK) & #3483461 (Lulantis)
573,A,Tu dois m'aider.,You must help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #3331011 (CK) & #3470457 (Lulantis) Editorially corrected after complete row-by-row linguistic audit.
574,B,Tu parles comme ta mère.,You speak like your mother.,CC-BY 2.0 (France) Attribution: tatoeba.org #70145 (CK) & #3162994 (Apex)
575,B,Comment oses-tu me traiter d'idiot !,How dare you call me an idiot!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800847 (CK) & #5804343 (Toynop) Editorially corrected after complete row-by-row linguistic audit.
576,B,Comment osez-vous ainsi parler ?,How dare you speak like that!,CC-BY 2.0 (France) Attribution: tatoeba.org #16340 (Swift) & #469751 (sacredceltic)
577,B,Je rentre directement à la maison après le travail.,"After work, I go right home.",CC-BY 2.0 (France) Attribution: tatoeba.org #717037 (darinmex) & #683244 (Paiooooo)
578,B,"Tout ce que je peux faire, c'est essayer.",All I can do is try.,CC-BY 2.0 (France) Attribution: tatoeba.org #3405178 (CK) & #7805468 (Rockaround)
579,B,Nous ne pouvons qu'attendre.,All we can do is wait.,CC-BY 2.0 (France) Attribution: tatoeba.org #2881847 (CK) & #10895420 (Lumpawurump)
580,B,Appelez-moi si vous rencontrez des difficultés.,Call me if you have difficulties.,CC-BY 2.0 (France) Attribution: tatoeba.org #5143406 (Joseph) & #11948308 (lbdx)
581,B,Appelle-moi si tu as besoin d'aide.,Call me if you need help.,CC-BY 2.0 (France) Attribution: tatoeba.org #1341305 (CK) & #5381203 (Aiji)
582,B,Appelez-moi si vous avez besoin de moi.,Call me if you need me.,CC-BY 2.0 (France) Attribution: tatoeba.org #3635870 (CK) & #11624442 (Aiji)
583,B,Appelle-moi dès que tu es rentré.,Call me as soon as you get back.,CC-BY 2.0 (France) Attribution: tatoeba.org #11559663 (weirdie) & #8729370 (Julien_PDC) Editorially corrected after complete row-by-row linguistic audit.
584,B,Appelez-nous lorsque vous y arriverez !,Call us when you get there.,CC-BY 2.0 (France) Attribution: tatoeba.org #1839423 (CK) & #11732878 (felix63) Editorially corrected after complete row-by-row linguistic audit.
585,B,"Allez, tu peux le faire.","Come on, you can do it.",CC-BY 2.0 (France) Attribution: tatoeba.org #5777735 (CK) & #6843498 (Aiji)
586,B,"Allez, tu peux me le dire.","Come on, you can tell me.",CC-BY 2.0 (France) Attribution: tatoeba.org #3200130 (CK) & #8085931 (Aiji)
587,B,Viens par ici m'aider.,Come over here and help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2986073 (CK) & #12879580 (lbdx)
588,B,Fais exactement ce que je te dis.,Do exactly as I tell you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3200129 (CK) & #13378287 (lbdx)
589,B,Fais-le quand tu auras du temps.,Do it when you have time.,CC-BY 2.0 (France) Attribution: tatoeba.org #241726 (CK) & #334375 (TRANG)
590,B,Fais ce que tu penses être le mieux.,Do what you think is best.,CC-BY 2.0 (France) Attribution: tatoeba.org #410767 (CK) & #6926593 (Aiji)
591,B,Fais ce que tu estimes juste.,Do what you think is right.,CC-BY 2.0 (France) Attribution: tatoeba.org #17797 (CK) & #5226922 (nimfeo)
592,B,Fais-en ce que tu veux.,Do what you want with it.,CC-BY 2.0 (France) Attribution: tatoeba.org #3728367 (CM) & #5661468 (Yemana)
593,B,Ne me dis pas ce que je dois faire.,Don't tell me what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #1849380 (CK) & #5156512 (kamillel)
594,B,Ne me dis pas que tu ne savais pas.,Don't tell me you didn't know.,CC-BY 2.0 (France) Attribution: tatoeba.org #1873858 (CK) & #11988491 (lbdx)
595,B,"Excusez-moi, j'ai laissé tomber mes baguettes.","Excuse me, I dropped my chopsticks.",CC-BY 2.0 (France) Attribution: tatoeba.org #2233543 (CK) & #2235566 (Dreamk33)
596,B,"Excusez-moi, j'ai une question.","Excuse me, I have a question.",CC-BY 2.0 (France) Attribution: tatoeba.org #1445889 (johnd) & #1008656 (elgranjuego)
597,B,"Excusez-moi, votre lacet est défait.","Excuse me, your shoelace is undone.",CC-BY 2.0 (France) Attribution: tatoeba.org #10012987 (sundown) & #1545133 (sysko)
598,B,Il ne comprend pas ce que tu dis.,He doesn't understand what you say.,CC-BY 2.0 (France) Attribution: tatoeba.org #573142 (papabear) & #10900993 (lbdx)
599,B,"Aide-moi avec mon devoir, s’il te plaît.","Help me with my homework, please.",CC-BY 2.0 (France) Attribution: tatoeba.org #38840 (CK) & #1366521 (Danquebec)
600,B,"Hé, je veux t'aider.","Hey, I want to help you.",CC-BY 2.0 (France) Attribution: tatoeba.org #3575355 (CK) & #7785815 (Aiji)
601,B,Je suis d'accord avec ce que vous dites.,I agree with what you say.,CC-BY 2.0 (France) Attribution: tatoeba.org #3820986 (CK) & #10623859 (lbdx)
602,B,Je sais déjà ce que c'est.,I already know what it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #3619643 (CK) & #7089109 (Aiji)
603,B,Je suppose que c'est ce que vous voulez.,I assume that's what you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #4529704 (CK) & #5959390 (Aiji)
604,B,Je suppose que vous parlez français.,I assume you speak French.,CC-BY 2.0 (France) Attribution: tatoeba.org #2293214 (CK) & #7966094 (Micsmithel) Editorially corrected after complete row-by-row linguistic audit.
605,B,Je crois que tu as mon parapluie.,I believe you have my umbrella.,CC-BY 2.0 (France) Attribution: tatoeba.org #5282549 (CK) & #5655622 (Yemana)
606,B,Je crois que tu aimes ton métier.,I believe you like your job.,CC-BY 2.0 (France) Attribution: tatoeba.org #69368 (CM) & #10398 (Dreamk33)
607,B,Je peux revenir une autre fois.,I can come back another time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2300643 (CK) & #5800789 (Toynop)
608,B,Je peux le faire pour toi.,I can do it for you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3374129 (CK) & #8390144 (Aiji)
609,B,Je ne peux rien faire pour aider.,I can't do anything to help.,CC-BY 2.0 (France) Attribution: tatoeba.org #4497869 (CK) & #7862738 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
610,B,Je peux faire ce que je veux.,I can do whatever I want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2300685 (CK) & #12161112 (lbdx)
611,B,J'y arriverai sans son aide.,I'll manage without his help.,CC-BY 2.0 (France) Attribution: tatoeba.org #285577 (CK) & #130196 (Julien_PDC) Editorially corrected after complete row-by-row linguistic audit.
612,B,Je peux me rendre où que tu le veuilles.,I can go wherever you like.,CC-BY 2.0 (France) Attribution: tatoeba.org #618483 (Shoyren) & #8031906 (Rovo)
613,B,Ça va être dur d'attendre jusqu'à demain.,It will be hard to wait until tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #2947245 (CK) & #5658159 (Yemana) Editorially corrected after complete row-by-row linguistic audit.
614,B,Je peux t'aider si tu veux.,I can help you if you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301252 (CK) & #8630005 (Julien_PDC) Editorially corrected after complete row-by-row linguistic audit.
615,B,Je ne peux plus te faire confiance.,I can no longer trust you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3905109 (CK) & #5829820 (Aiji)
616,B,Je ne peux pas venir travailler demain.,I can't come to work tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #6665091 (CK) & #7816987 (Aiji)
617,B,Je ne peux pas pardonner ce que tu as fait.,I can't forgive what you did.,CC-BY 2.0 (France) Attribution: tatoeba.org #1951642 (CK) & #9771795 (lbdx)
618,B,Je ne peux pas aller avec toi demain.,I can't go with you tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #4498996 (CK) & #5899580 (Aiji)
619,B,Je ne peux pas dire ce qu'il est.,I can't tell what it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #1955001 (CK) & #1978585 (nimfeo)
620,B,Je ne peux pas te dire ce qui est arrivé.,I can't tell you what happened.,CC-BY 2.0 (France) Attribution: tatoeba.org #1633572 (Amastan) & #4059132 (Danquebec)
621,B,Je ne comprends pas ce que tu dis.,I cannot understand what you say.,CC-BY 2.0 (France) Attribution: tatoeba.org #321424 (Zifre) & #926869 (bojnin)
622,B,Je viens à l'école en bus.,I come to school by bus.,CC-BY 2.0 (France) Attribution: tatoeba.org #436497 (lukaszpp) & #7981734 (Aiji)
623,B,J'aurais pu perdre mon travail.,I could have lost my job.,CC-BY 2.0 (France) Attribution: tatoeba.org #2308115 (CK) & #10984862 (Lumpawurump)
624,B,J'aurais besoin d'aide.,I could use some help.,CC-BY 2.0 (France) Attribution: tatoeba.org #2308192 (CK) & #9753447 (lbdx) Editorially corrected after complete row-by-row linguistic audit.
625,B,J'ai fait tout ce que j'ai pu aujourd'hui.,I did everything I could today.,CC-BY 2.0 (France) Attribution: tatoeba.org #5643111 (CK) & #8063665 (Aiji)
626,B,Je ne savais pas quoi faire.,I didn't know what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #255152 (CK) & #10745527 (Fenrir)
627,B,Je ne savais pas bien quoi dire.,I didn't quite know what to say.,CC-BY 2.0 (France) Attribution: tatoeba.org #24890 (CK) & #14211 (Akenaseryan) Editorially corrected after complete row-by-row linguistic audit.
628,B,Je ne savais pas où tu étais.,I didn't know where you were.,CC-BY 2.0 (France) Attribution: tatoeba.org #2290376 (CK) & #11102165 (Rovo)
629,B,Je ne savais pas qui avait fait ça.,I didn't know who had done that.,CC-BY 2.0 (France) Attribution: tatoeba.org #6266661 (CK) & #9010034 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
630,B,Je ne savais pas que tu savais cuisiner.,I didn't know you knew how to cook.,CC-BY 2.0 (France) Attribution: tatoeba.org #6818577 (Hybrid) & #6821200 (Yemana) Editorially corrected after complete row-by-row linguistic audit.
631,B,Je ne savais pas que tu étais là.,I didn't know you were there.,CC-BY 2.0 (France) Attribution: tatoeba.org #2290400 (CK) & #6401161 (Blabla)
632,B,Je ne savais pas que tu travaillais ici.,I didn't know you worked here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2290402 (CK) & #10498883 (lbdx)
633,B,Je réprouve ce que tu dis.,I disapprove of what you say.,CC-BY 2.0 (France) Attribution: tatoeba.org #252831 (CK) & #3141072 (Aiji)
634,B,Je fais mes devoirs après l'école.,I do my homework after school.,CC-BY 2.0 (France) Attribution: tatoeba.org #398543 (whipback) & #1153765 (belgavox)
635,B,Je me fiche de qui vous êtes.,I don't care who you are.,CC-BY 2.0 (France) Attribution: tatoeba.org #2361147 (CK) & #6847711 (Aiji)
636,B,Je n'ai pas envie de t'aider.,I don't feel like helping you.,CC-BY 2.0 (France) Attribution: tatoeba.org #855752 (Swift) & #4873906 (Julien_PDC)
637,B,Je n'ai pas de temps pour toi.,I don't have time for you.,CC-BY 2.0 (France) Attribution: tatoeba.org #713809 (fanty) & #755722 (Aiji)
638,B,Je ne sais pas ce dont j'ai besoin.,I don't know what I need.,CC-BY 2.0 (France) Attribution: tatoeba.org #5190368 (CK) & #9245414 (felix63)
639,B,Je ne sais pas ce que je veux.,I don't know what I want.,CC-BY 2.0 (France) Attribution: tatoeba.org #1785015 (Amastan) & #8703759 (Julien_PDC)
640,B,Je ne sais pas ce que c'est.,I don't know what it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #43145 (Dorenda) & #367104 (sysko)
641,B,Je ne sais pas ce qu'ils veulent.,I don't know what they want.,CC-BY 2.0 (France) Attribution: tatoeba.org #3818736 (CK) & #8170525 (Aiji)
642,B,Je ne sais pas quoi faire.,I don't know what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #454490 (CM) & #453840 (mamat)
643,B,Je ne sais quoi dire.,I don't know what to say.,CC-BY 2.0 (France) Attribution: tatoeba.org #436541 (lukaszpp) & #9652 (Petro1)
644,B,Je ne sais pas ce que tu fais.,I don't know what you're doing.,CC-BY 2.0 (France) Attribution: tatoeba.org #5190370 (CK) & #5406020 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
645,B,Je ne sais pas ce que tu veux dire.,I don't know what you mean.,CC-BY 2.0 (France) Attribution: tatoeba.org #1408 (CK) & #3224 (Tcha)
646,B,Je ne sais pas où c'est.,I don't know where it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #2361278 (CK) & #746556 (Aiji)
647,B,Je ne sais pas qui l'a fait.,I don't know who did it.,CC-BY 2.0 (France) Attribution: tatoeba.org #4726264 (soredewa) & #1337010 (Mutusen)
648,B,Je ne sais pas qui a fait ça.,I don't know who did that.,CC-BY 2.0 (France) Attribution: tatoeba.org #5640169 (CK) & #7724039 (Katastrauff)
649,B,Je ne sais pas qui il est.,I don't know who he is.,CC-BY 2.0 (France) Attribution: tatoeba.org #260118 (CK) & #127607 (qdii)
650,B,Je ne sais pas qui c'est.,I don't know who it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #3619642 (CK) & #6821630 (Yemana)
651,B,Je ne pense pas que tu me comprennes.,I don't think you understand me.,CC-BY 2.0 (France) Attribution: tatoeba.org #6663936 (CK) & #12825277 (Rovo)
652,B,Je ne vois pas ce que tu veux dire.,I don't understand what you mean.,CC-BY 2.0 (France) Attribution: tatoeba.org #2669788 (CK) & #7198581 (tras)
653,B,Comment oses-tu me traiter d'hypocrite ?,How dare you call me a hypocrite!,CC-BY 2.0 (France) Attribution: tatoeba.org #10502336 (CK) & #11483832 (lbdx)
654,B,Comment oses-tu me faire ça ?,How dare you do that to me!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800849 (CK) & #11234259 (lbdx)
655,B,Comment oses-tu me le dire !,How dare you say that to me!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800845 (CK) & #5804340 (Toynop)
656,B,J'espère que vous passez du bon temps !,I hope you're having a good time!,CC-BY 2.0 (France) Attribution: tatoeba.org #1773410 (Spamster) & #1774384 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
657,B,Comment oses-tu raconter de telles choses sur moi !,How dare you tell such things about me!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800830 (CK) & #5804332 (Toynop) Editorially corrected after complete row-by-row linguistic audit.
658,B,Comment oses-tu te montrer ici ?,How dare you show your face around here!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800824 (CK) & #11289241 (lbdx)
659,B,Comment oses-tu me parler comme ça !,How dare you speak like that to me!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800837 (CK) & #6287449 (nimfeo)
660,B,Comment oses-tu me parler ainsi !,How dare you speak to me like that!,CC-BY 2.0 (France) Attribution: tatoeba.org #66279 (CM) & #484128 (sacredceltic)
661,B,Comment oses-tu me parler sur ce ton ?,How dare you speak to me that way!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800838 (CK) & #5804331 (Toynop)
662,B,Comment oses-tu me parler ainsi ?,How dare you talk to me like that!,CC-BY 2.0 (France) Attribution: tatoeba.org #29974 (CM) & #12172499 (lbdx)
663,B,Comment oses-tu me traiter comme un criminel !,How dare you treat me like a criminal!,CC-BY 2.0 (France) Attribution: tatoeba.org #5800826 (CK) & #5804328 (Toynop)
664,B,Regarde-moi quand je te parle !,Look at me when I talk to you!,CC-BY 2.0 (France) Attribution: tatoeba.org #1698 (CE) & #3518 (zmoo)
665,B,Mais qu'as-tu donc fait pendant tout ce temps ?,What have you been doing all this time?,CC-BY 2.0 (France) Attribution: tatoeba.org #6032 (Zifre) & #6033 (kurisutofu) Editorially corrected after complete row-by-row linguistic audit.
666,C,Comment vas-tu ? Je ne t'ai pas vu depuis des lustres !,How are you? I haven't seen you for ages!,CC-BY 2.0 (France) Attribution: tatoeba.org #11215833 (sundown) & #11229696 (lbdx)
667,C,Qu'en pensez-vous ? Ce serait chouette !,What do you think about it? It'd be great!,CC-BY 2.0 (France) Attribution: tatoeba.org #6902834 (kaiperkins271) & #6902009 (felix63)
668,C,Y a-t-il des magazines français dans la bibliothèque de ton école ?,Are there any French magazines in your school library?,CC-BY 2.0 (France) Attribution: tatoeba.org #4662883 (CK) & #5943427 (Aiji)
669,B,Es-tu en train de me reprocher ton échec ?,Are you blaming me for your failure?,CC-BY 2.0 (France) Attribution: tatoeba.org #2057855 (CK) & #7046929 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
670,C,Vas-tu faire tes devoirs cet après-midi ?,Are you going to do your homework this afternoon?,CC-BY 2.0 (France) Attribution: tatoeba.org #242510 (kebukebu) & #8476 (Petro1)
671,C,Vas-tu y aller avec moi ou non ?,Are you going to go with me or not?,CC-BY 2.0 (France) Attribution: tatoeba.org #3821994 (CK) & #5418966 (Aiji)
672,C,Allez-vous déjeuner ici avec moi ?,Are you going to have lunch here with me?,CC-BY 2.0 (France) Attribution: tatoeba.org #2167338 (CM) & #8370724 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
673,C,Es-tu en train de dire que je n'ai aucun sens de l'humour ?,Are you saying I have no sense of humor?,CC-BY 2.0 (France) Attribution: tatoeba.org #4015223 (CK) & #5411106 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
674,C,Veux-tu dire que je n'ai pas de cerveau ?,Are you saying that I don't have a brain?,CC-BY 2.0 (France) Attribution: tatoeba.org #1132856 (CM) & #1153146 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
675,C,Êtes-vous sûr de vouloir faire cela ?,Are you sure that you want to do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #6978133 (CK) & #955084 (sacredceltic)
676,C,Es-tu sûr de vouloir faire ça ?,Are you sure that you want to do this?,CC-BY 2.0 (France) Attribution: tatoeba.org #953129 (CK) & #955083 (sacredceltic)
677,C,Es-tu sûr de vouloir y aller ?,Are you sure that you want to go there?,CC-BY 2.0 (France) Attribution: tatoeba.org #953131 (CK) & #1368784 (sacredceltic)
678,C,Tu es sûr de ne rien vouloir manger ?,Are you sure you don't want anything to eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #2030000 (CK) & #7553051 (Aiji)
679,C,Es-tu sûr de ne pas vouloir manger quelque chose ?,Are you sure you don't want something to eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #1847852 (CK) & #1850205 (sacredceltic)
680,C,Es-tu sûr de ne pas vouloir entrer ?,Are you sure you don't want to come in?,CC-BY 2.0 (France) Attribution: tatoeba.org #2026343 (CK) & #6716785 (Aiji)
681,C,Es-tu sûr de ne pas vouloir venir ce soir ?,Are you sure you don't want to come tonight?,CC-BY 2.0 (France) Attribution: tatoeba.org #2030001 (CK) & #5418932 (Aiji)
682,C,Es-tu sûre de ne pas vouloir faire ça ?,Are you sure you don't want to do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #2588794 (CK) & #6210302 (Aiji)
683,C,Êtes-vous sûre de ne pas vouloir faire ceci ?,Are you sure you don't want to do this?,CC-BY 2.0 (France) Attribution: tatoeba.org #2026344 (CK) & #6210295 (Aiji)
684,C,Es-tu en train de me dire comment faire mon boulot ?,Are you telling me how to do my job?,CC-BY 2.0 (France) Attribution: tatoeba.org #1855181 (Spamster) & #1858382 (sacredceltic)
685,C,Voulez-vous m'aider pour ce travail ?,Do you want to help me with this work?,CC-BY 2.0 (France) Attribution: tatoeba.org #250941 (CK) & #136219 (TRANG) Editorially corrected after complete row-by-row linguistic audit.
686,C,À quel âge voulez-vous vous marier ?,At what age do you want to get married?,CC-BY 2.0 (France) Attribution: tatoeba.org #3935199 (Azer) & #3935616 (Scorpionvenin14)
687,B,Puis-je t'offrir un verre ?,Can I buy you a drink?,CC-BY 2.0 (France) Attribution: tatoeba.org #3730500 (CM) & #4115615 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
688,C,"Puis-je avoir deux hamburgers et un coca, s'il vous plaît ?","Can I have two hamburgers and a Coke, please?",CC-BY 2.0 (France) Attribution: tatoeba.org #34934 (darinmex) & #13136 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
689,C,"Puis-je te parler une seconde, s'il te plaît ?",Can I talk to you for a second please?,CC-BY 2.0 (France) Attribution: tatoeba.org #3387491 (CK) & #5576648 (Aiji)
690,C,"Je peux te parler une seconde, s'il te plaît ?","Can I talk to you for a second, please?",CC-BY 2.0 (France) Attribution: tatoeba.org #3121892 (CK) & #5619281 (Aiji)
691,C,Quelqu'un peut-il me dire ce que je devrais faire ensuite ?,Can anyone tell me what I should do next?,CC-BY 2.0 (France) Attribution: tatoeba.org #5190612 (CK) & #5707305 (Aiji) | Editorially adapted for learner accuracy; original source attribution retained
692,C,Peux-tu me conduire à l'aéroport demain matin ?,Can you drive me to the airport tomorrow morning?,CC-BY 2.0 (France) Attribution: tatoeba.org #5020157 (Hybrid) & #12442525 (lbdx)
693,C,Pouvez-vous m’accorder un peu plus de temps ?,Can you give me a little bit more time?,CC-BY 2.0 (France) Attribution: tatoeba.org #3154058 (CK) & #7912698 (sacredceltic)
694,C,"Pourriez-vous repasser ce t-shirt pour moi, s'il vous plaît ?","Could you iron this T-shirt for me, please?",CC-BY 2.0 (France) Attribution: tatoeba.org #742088 (CM) & #822448 (mayliu) Editorially corrected after complete row-by-row linguistic audit.
695,C,"Peux-tu m'aider juste une minute, s'il te plaît ?",Can you please help me for just a minute?,CC-BY 2.0 (France) Attribution: tatoeba.org #3636363 (CK) & #5661963 (Aiji)
696,C,"Pourriez-vous me dire où se trouve le restaurant, s'il vous plaît ?",Could you please tell me where the restaurant is?,CC-BY 2.0 (France) Attribution: tatoeba.org #434422 (lukaszpp) & #496775 (Goofy) Editorially corrected after complete row-by-row linguistic audit.
697,B,Pouvez-vous s'il vous plaît me répéter votre nom ?,Can you please repeat your name?,CC-BY 2.0 (France) Attribution: tatoeba.org #889678 (Scott) & #944854 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
698,C,Peux-tu prouver que ce que tu as dit est vrai ?,Can you prove that what you said is true?,CC-BY 2.0 (France) Attribution: tatoeba.org #681808 (Source_VOA) & #937450 (sacredceltic)
699,C,Peux-tu me montrer comment nouer une cravate ?,Can you show me how to tie a tie?,CC-BY 2.0 (France) Attribution: tatoeba.org #829673 (darinmex) & #829674 (sacredceltic)
700,B,Arrives-tu à te rappeler le moment où nous nous sommes rencontrés pour la première fois ?,Can you remember the time we first met?,CC-BY 2.0 (France) Attribution: tatoeba.org #953158 (CK) & #1372893 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
701,C,Peux-tu m'apprendre comment jouer de la cornemuse ?,Can you teach me how to play the bagpipes?,CC-BY 2.0 (France) Attribution: tatoeba.org #2229693 (CM) & #8393589 (zarisi)
702,C,Pouvez-vous m'apprendre à monter à cheval ?,Can you teach me how to ride a horse?,CC-BY 2.0 (France) Attribution: tatoeba.org #2587709 (Hybrid) & #5372965 (alexisslay)
703,C,Vous pouvez m'apprendre à jurer en français ?,Can you teach me how to swear in French?,CC-BY 2.0 (France) Attribution: tatoeba.org #8309566 (CK) & #9081413 (lbdx)
704,C,Tu peux me dire quel jour on est aujourd'hui ?,Can you tell me what day it is today?,CC-BY 2.0 (France) Attribution: tatoeba.org #1934786 (Spamster) & #10764999 (lbdx)
705,C,Peux-tu me dire ce que tu entends par ça ?,Can you tell me what you mean by that?,CC-BY 2.0 (France) Attribution: tatoeba.org #3202686 (CK) & #13727526 (Thierry35) Editorially corrected after complete row-by-row linguistic audit.
706,C,Pouvez-vous me dire ce que vous voulez faire ?,Can you tell me what you want to do?,CC-BY 2.0 (France) Attribution: tatoeba.org #6250540 (CK) & #8170537 (Aiji)
707,C,Est-ce que tu peux me dire ce que tu essaies de faire ?,Can you tell me what you're trying to do?,CC-BY 2.0 (France) Attribution: tatoeba.org #6242492 (CK) & #8170508 (Aiji)
